source,title,start_date,end_date,venue,url,last_seen_at
makuhari,マイナビ就活直前フェア幕張会場,2026-02-02,2026-02-02,展,https://job.mynavi.jp/conts/event/2027/10266/index.html,2026-02-18
makuhari,成田空港 合同企業説明会・空港見学会,2026-02-06,2026-02-06,会,https://www.narita-airport.jp/ja/company/recruit/rec-info-grp/,2026-02-18
makuhari,学びリンク 通信制高校・サポート校合同相談会,2026-02-07,2026-02-07,,https://manabilink.co.jp/,2026-02-18
makuhari,ワンダーフェスティバル2026[冬],2026-02-08,2026-02-08,展,https://wonfes.jp/specialsite/,2026-02-18
makuhari,ナース専科就職 合同就職説明会2027,2026-02-08,2026-02-08,会,https://recruit.nurse-senka.com/fair/1627?actid=fairsearch0,2026-02-18
makuhari,ちば企業発見フェア2026,2026-02-11,2026-02-11,会,,2026-02-18
makuhari,千葉県吹奏楽連盟創立70周年記念演奏会,2026-02-11,2026-02-11,イ,https://www.chibasuiren.gr.jp,2026-02-18
makuhari,デュエル・マスターズ ファンフェスティバル 2025幕張,2026-02-15,2026-02-15,展,,2026-02-18
makuhari,コープみらいフェスタきやっせ物産展in幕張メッセ,2026-02-15,2026-02-15,展,,2026-02-18
makuhari,キャリタス福祉フォーラム,2026-02-16,2026-02-16,会,,2026-02-18
makuhari,マイナビ転職フェア 幕張,2026-02-28,2026-02-28,会,https://tenshoku.mynavi.jp/event/chiba/20260228A/,2026-02-18
